,realization,node,resistance,metric,max_level,avg_level
0,0,1084,0.25,548,1,0.8904
1,0,1084,0.5,548,1,0.8904
2,0,1084,0.75,548,1,0.8904
3,0,1084,1.0,548,1,0.8904
4,0,1136,0.25,489,1,0.9022
5,0,1136,0.5,489,1,0.9022
6,0,1136,0.75,489,1,0.9022
7,0,1136,1.0,489,1,0.9022
8,0,4082,0.25,512,1,0.8976
9,0,4082,0.5,512,1,0.8976
10,0,4082,0.75,512,1,0.8976
11,0,4082,1.0,512,1,0.8976
12,0,3413,0.25,493,1,0.9014
13,0,3413,0.5,493,1,0.9014
14,0,3413,0.75,493,1,0.9014
15,0,3413,1.0,493,1,0.9014
16,0,3538,0.25,473,1,0.9054
17,0,3538,0.5,473,1,0.9054
18,0,3538,0.75,473,1,0.9054
19,0,3538,1.0,473,1,0.9054
20,0,1774,0.25,497,1,0.9006
21,0,1774,0.5,497,1,0.9006
22,0,1774,0.75,497,1,0.9006
23,0,1774,1.0,497,1,0.9006
24,0,1934,0.25,498,1,0.9004
25,0,1934,0.5,498,1,0.9004
26,0,1934,0.75,498,1,0.9004
27,0,1934,1.0,498,1,0.9004
28,0,4304,0.25,514,1,0.8972
29,0,4304,0.5,514,1,0.8972
30,0,4304,0.75,514,1,0.8972
31,0,4304,1.0,514,1,0.8972
32,0,3220,0.25,472,1,0.9056
33,0,3220,0.5,472,1,0.9056
34,0,3220,0.75,472,1,0.9056
35,0,3220,1.0,472,1,0.9056
36,0,4060,0.25,499,1,0.9002
37,0,4060,0.5,499,1,0.9002
38,0,4060,0.75,499,1,0.9002
39,0,4060,1.0,499,1,0.9002
40,0,235,0.25,500,1,0.9
41,0,235,0.5,500,1,0.9
42,0,235,0.75,500,1,0.9
43,0,235,1.0,500,1,0.9
44,0,3396,0.25,504,1,0.8992
45,0,3396,0.5,504,1,0.8992
46,0,3396,0.75,504,1,0.8992
47,0,3396,1.0,504,1,0.8992
48,0,3131,0.25,507,1,0.8986
49,0,3131,0.5,507,1,0.8986
50,0,3131,0.75,507,1,0.8986
51,0,3131,1.0,507,1,0.8986
52,0,2060,0.25,503,1,0.8994
53,0,2060,0.5,503,1,0.8994
54,0,2060,0.75,503,1,0.8994
55,0,2060,1.0,503,1,0.8994
56,0,2485,0.25,528,1,0.8944
57,0,2485,0.5,528,1,0.8944
58,0,2485,0.75,528,1,0.8944
59,0,2485,1.0,528,1,0.8944
60,0,813,0.25,515,1,0.897
61,0,813,0.5,515,1,0.897
62,0,813,0.75,515,1,0.897
63,0,813,1.0,515,1,0.897
64,0,3044,0.25,516,1,0.8968
65,0,3044,0.5,516,1,0.8968
66,0,3044,0.75,516,1,0.8968
67,0,3044,1.0,516,1,0.8968
68,0,3828,0.25,519,1,0.8962
69,0,3828,0.5,519,1,0.8962
70,0,3828,0.75,519,1,0.8962
71,0,3828,1.0,519,1,0.8962
72,0,213,0.25,459,1,0.9082
73,0,213,0.5,459,1,0.9082
74,0,213,0.75,459,1,0.9082
75,0,213,1.0,459,1,0.9082
76,0,423,0.25,527,1,0.8946
77,0,423,0.5,527,1,0.8946
78,0,423,0.75,527,1,0.8946
79,0,423,1.0,527,1,0.8946
80,0,3766,0.25,505,1,0.899
81,0,3766,0.5,505,1,0.899
82,0,3766,0.75,505,1,0.899
83,0,3766,1.0,505,1,0.899
84,0,3044,0.25,516,1,0.8968
85,0,3044,0.5,516,1,0.8968
86,0,3044,0.75,516,1,0.8968
87,0,3044,1.0,516,1,0.8968
88,0,3484,0.25,508,1,0.8984
89,0,3484,0.5,508,1,0.8984
90,0,3484,0.75,508,1,0.8984
