resistance,node,metric,max_level,avg_level
0.25,0,1.12,0.0,-0.9994399999999996
0.25,3,1.08,0.02,-0.9994399999999998
0.25,8,1.08,0.04,-0.9994199999999993
0.25,10,1.1,0.0,-0.9994499999999995
0.25,11,1.18,0.04,-0.9993699999999996
0.25,12,1.06,0.0,-0.9994699999999994
0.25,14,1.12,0.02,-0.9993999999999995
0.25,18,1.06,0.0,-0.9994699999999996
0.25,19,1.04,0.0,-0.9994799999999987
0.25,29,1.22,0.02,-0.9993699999999995
0.25,32,1.06,0.0,-0.9994699999999996
0.25,33,1.16,0.0,-0.9994199999999995
0.25,34,1.12,0.0,-0.9994399999999998
0.25,35,1.12,0.0,-0.9994399999999998
0.25,37,1.08,0.0,-0.9994599999999997
0.25,39,1.1,0.0,-0.9994499999999995
0.25,42,1.16,0.0,-0.9994199999999995
0.25,44,1.12,0.0,-0.9994399999999984
0.25,48,1.1,0.0,-0.999449999999999
0.25,51,1.12,0.02,-0.9994199999999986
0.25,53,1.04,0.0,-0.9994799999999994
0.25,54,1.08,0.0,-0.9994599999999992
0.25,57,1.1,0.02,-0.9994299999999997
0.25,59,1.14,0.0,-0.9994299999999998
0.25,61,1.14,0.04,-0.9993899999999997
0.25,62,1.06,0.0,-0.9994699999999993
0.25,63,1.1,0.0,-0.9994499999999998
0.25,64,1.14,0.02,-0.9994099999999997
0.25,73,1.12,0.0,-0.9994399999999994
0.25,83,1.1,0.0,-0.9994499999999995
0.25,84,1.12,0.0,-0.9994399999999994
0.25,87,1.18,0.02,-0.9993899999999996
0.25,93,1.06,0.0,-0.9994699999999994
0.25,96,1.08,0.0,-0.9994599999999987
0.25,100,1.1,0.0,-0.9994499999999985
0.25,101,1.12,0.0,-0.9994399999999994
0.25,106,1.12,0.0,-0.9994399999999988
0.25,112,1.08,0.0,-0.9994599999999997
0.25,113,1.06,0.0,-0.9994699999999994
0.25,115,1.1,0.0,-0.9994499999999995
0.25,116,1.12,0.02,-0.9994199999999996
0.25,119,1.1,0.0,-0.9994499999999986
0.25,120,1.1,0.0,-0.9994499999999996
0.25,122,1.1,0.04,-0.999409999999999
0.25,123,1.14,0.0,-0.9994299999999994
0.25,126,1.04,0.0,-0.9994799999999997
0.25,128,1.08,0.0,-0.9994599999999985
0.25,130,1.08,0.02,-0.9994399999999996
0.25,135,1.02,0.0,-0.9994899999999994
0.25,138,1.08,0.0,-0.9994599999999995
0.25,140,1.16,0.0,-0.9994199999999998
0.25,142,1.08,0.02,-0.9994399999999994
0.25,148,1.08,0.0,-0.9994599999999995
0.25,149,1.12,0.02,-0.9994199999999995
0.25,150,1.06,0.0,-0.9994699999999994
0.25,153,1.14,0.0,-0.9994299999999996
0.25,156,1.08,0.0,-0.9994599999999996
0.25,160,1.08,0.0,-0.9994599999999996
0.25,161,1.16,0.0,-0.9994199999999986
0.25,163,1.06,0.0,-0.9994699999999996
0.25,168,1.12,0.02,-0.9994199999999996
0.25,175,1.08,0.0,-0.9994599999999995
0.25,176,1.2,0.02,-0.9993799999999987
0.25,177,1.06,0.0,-0.9994699999999987
0.25,178,1.14,0.0,-0.9994299999999997
0.25,181,1.08,0.0,-0.9994599999999995
0.25,182,1.12,0.0,-0.9994399999999994
0.25,185,1.06,0.0,-0.9994699999999986
0.25,186,1.08,0.02,-0.9994399999999994
0.25,192,1.08,0.0,-0.9994599999999996
0.25,194,1.02,0.0,-0.9994899999999994
0.25,196,1.16,0.0,-0.9994199999999986
0.25,200,1.02,0.0,-0.9994899999999985
0.25,204,1.06,0.04,-0.9994299999999987
0.25,205,1.08,0.0,-0.9994599999999992
0.25,207,1.06,0.0,-0.9994699999999989
0.25,215,1.06,0.0,-0.9994699999999996
0.25,216,1.12,0.0,-0.9994399999999996
0.25,217,1.1,0.0,-0.9994499999999996
0.25,218,1.1,0.0,-0.9994499999999996
0.25,222,1.16,0.02,-0.9994
0.25,223,1.08,0.02,-0.9994399999999986
0.25,224,1.04,0.0,-0.9994799999999995
0.25,225,1.16,0.0,-0.9994199999999998
0.25,229,1.04,0.02,-0.9994599999999995
0.25,233,1.06,0.0,-0.9994699999999987
0.25,236,1.08,0.0,-0.9994599999999996
0.25,239,1.16,0.06,-0.9993599999999995
0.25,242,1.18,0.02,-0.9993899999999998
0.25,245,1.16,0.0,-0.9994199999999996
0.25,246,1.12,0.02,-0.9993999999999995
0.25,248,1.08,0.0,-0.9994599999999997
0.25,257,1.04,0.0,-0.9994799999999995
0.25,259,1.14,0.0,-0.9994299999999987
0.25,260,1.04,0.0,-0.9994799999999994
0.25,261,1.08,0.0,-0.9994599999999992
0.25,268,1.14,0.04,-0.9993899999999991
0.25,271,1.08,0.0,-0.9994599999999995
0.25,274,1.12,0.0,-0.9994399999999994
0.25,275,1.04,0.0,-0.9994799999999997
0.25,276,1.1,0.0,-0.9994499999999986
0.25,282,1.02,0.0,-0.9994899999999994
0.25,284,1.18,0.0,-0.9994099999999999
0.25,287,1.06,0.0,-0.9994699999999994
0.25,289,1.14,0.04,-0.9993899999999988
0.25,293,1.06,0.0,-0.9994699999999993
0.25,298,1.02,0.0,-0.9994899999999999
0.25,299,1.08,0.0,-0.9994599999999996
0.25,300,1.14,0.04,-0.9993899999999997
0.25,303,1.08,0.02,-0.9994399999999996
0.25,305,1.08,0.04,-0.9994199999999993
0.25,309,1.06,0.0,-0.9994699999999987
0.25,312,1.16,0.0,-0.9994199999999986
