resistance,node,metric,max_level,avg_level
0.25,0,1.54,0.26,-0.9996500000000005
0.25,6,1.74,0.24,-0.9996100000000007
0.25,13,1.46,0.18,-0.9996833333333341
0.25,16,1.46,0.14,-0.999703333333334
0.25,32,1.6,0.24,-0.9996066666666671
0.25,33,1.56,0.2,-0.9996333333333343
0.25,56,1.58,0.18,-0.9996366666666674
0.25,61,1.52,0.2,-0.999653333333334
0.25,82,1.44,0.12,-0.999693333333334
0.25,86,1.48,0.22,-0.9996800000000008
0.25,88,1.52,0.24,-0.9996333333333338
0.25,95,1.64,0.24,-0.9996200000000005
0.25,102,1.54,0.2,-0.9996566666666673
0.25,107,1.38,0.18,-0.9996966666666661
0.25,108,1.52,0.2,-0.9996666666666674
0.25,116,1.6,0.2,-0.9996200000000007
0.25,121,1.6,0.22,-0.9996400000000005
0.25,126,1.56,0.22,-0.9996266666666672
0.25,155,1.56,0.28,-0.9996266666666673
0.25,167,1.38,0.16,-0.9996966666666677
0.25,178,1.62,0.22,-0.9996366666666673
0.25,180,1.48,0.22,-0.9996600000000007
0.25,195,1.52,0.26,-0.9996333333333339
0.25,209,1.5,0.22,-0.9996500000000006
0.25,218,1.52,0.14,-0.9996800000000008
0.25,221,1.62,0.16,-0.9996500000000006
0.25,233,1.52,0.18,-0.9996400000000008
0.25,239,1.46,0.12,-0.9996966666666676
0.25,244,1.5,0.22,-0.9996566666666672
0.25,246,1.6,0.16,-0.9996600000000008
0.25,247,1.36,0.16,-0.9997066666666674
0.25,248,1.42,0.16,-0.9996700000000004
0.25,250,1.54,0.14,-0.999676666666667
0.25,251,1.56,0.26,-0.9996266666666672
0.25,262,1.58,0.2,-0.9996500000000005
0.25,278,1.4,0.12,-0.9996933333333342
0.25,281,1.5,0.2,-0.9996700000000007
0.25,298,1.56,0.14,-0.999673333333334
0.25,308,1.48,0.18,-0.9996666666666676
0.25,320,1.62,0.22,-0.9995900000000006
0.25,329,1.54,0.16,-0.9996433333333341
