resistance,node,metric,max_level,avg_level
0.25,12,46.66,1.0,-0.5894333333333333
0.25,15,45.1,1.0,-0.60214
0.25,27,46.8,1.0,-0.5879644444444445
0.25,42,44.46,1.0,-0.6067844444444446
0.25,68,47.36,1.0,-0.58276
0.25,90,45.34,1.0,-0.5988022222222221
0.25,97,44.36,1.0,-0.6078400000000002
0.25,98,45.34,1.0,-0.6013577777777777
0.25,102,46.96,1.0,-0.5879333333333332
0.25,106,45.02,1.0,-0.6010466666666666
0.25,112,45.58,1.0,-0.5976511111111111
0.25,127,44.28,1.0,-0.6059244444444444
0.25,130,47.0,1.0,-0.5852577777777779
0.25,153,46.22,1.0,-0.592908888888889
0.25,166,46.26,1.0,-0.5933977777777778
0.25,185,47.22,1.0,-0.5876822222222223
0.25,189,46.62,1.0,-0.5889222222222223
0.25,190,46.22,1.0,-0.5935266666666668
0.25,192,48.72,1.0,-0.5703911111111113
0.25,237,43.44,1.0,-0.6144355555555555
0.25,246,46.38,1.0,-0.5908911111111109
0.25,247,46.02,1.0,-0.5934377777777781
0.25,248,45.08,1.0,-0.6025155555555556
0.25,278,46.52,1.0,-0.5916
0.25,290,46.44,1.0,-0.5920399999999999
0.25,308,45.68,1.0,-0.5979911111111111
0.25,309,47.54,1.0,-0.581131111111111
0.25,311,45.62,1.0,-0.5952866666666666
0.25,313,44.66,1.0,-0.60498
0.25,319,46.16,1.0,-0.5923155555555556
0.25,330,45.6,1.0,-0.5987199999999999
0.25,336,46.2,1.0,-0.5934755555555555
0.25,346,45.82,1.0,-0.5950466666666665
0.25,362,46.16,1.0,-0.5929644444444446
0.25,366,45.76,1.0,-0.5973822222222223
0.25,369,44.44,1.0,-0.6082799999999999
0.25,376,45.86,1.0,-0.5953933333333334
0.25,395,46.38,1.0,-0.5891444444444445
0.25,402,43.9,1.0,-0.6102955555555557
0.25,407,46.78,1.0,-0.5877044444444443
0.25,412,46.12,1.0,-0.591168888888889
0.25,416,47.04,1.0,-0.5871822222222223
0.25,431,44.94,1.0,-0.6022555555555554
0.25,433,46.28,1.0,-0.5925688888888889
0.25,459,44.34,1.0,-0.6061444444444446
0.25,460,44.66,1.0,-0.6043533333333333
0.25,461,44.86,1.0,-0.6038066666666667
0.25,466,44.68,1.0,-0.6065555555555556
0.25,467,47.14,1.0,-0.5844599999999999
0.25,480,47.04,1.0,-0.587231111111111
0.25,490,45.52,1.0,-0.5982711111111112
0.25,501,45.86,1.0,-0.5939133333333333
0.25,508,46.34,1.0,-0.58978
0.25,511,47.1,1.0,-0.5852644444444444
0.25,515,45.3,1.0,-0.5990688888888888
0.25,544,46.38,1.0,-0.5907711111111112
0.25,550,44.98,1.0,-0.6011
0.25,571,45.44,1.0,-0.5978311111111112
0.25,588,45.88,1.0,-0.5950355555555555
0.25,595,46.68,1.0,-0.5890622222222219
0.25,598,45.44,1.0,-0.5963155555555555
0.25,599,45.16,1.0,-0.6019288888888888
0.25,608,46.12,1.0,-0.5922044444444442
0.25,635,45.86,1.0,-0.59494
0.25,657,45.5,1.0,-0.5972155555555555
0.25,667,46.32,1.0,-0.5939066666666667
0.25,680,45.4,1.0,-0.5992133333333334
0.25,687,45.6,1.0,-0.597528888888889
0.25,696,45.92,1.0,-0.5972800000000001
0.25,702,46.36,1.0,-0.5911244444444442
0.25,709,45.96,1.0,-0.59476
0.25,729,46.4,1.0,-0.5900488888888891
0.25,740,46.7,1.0,-0.5881844444444446
0.25,745,46.78,1.0,-0.589771111111111
0.25,754,45.22,1.0,-0.599268888888889
0.25,758,46.82,1.0,-0.5901755555555556
0.25,759,47.2,1.0,-0.58344
0.25,775,44.94,1.0,-0.6037222222222224
0.25,784,45.62,1.0,-0.5955444444444443
0.25,801,46.08,1.0,-0.5919955555555555
0.25,804,45.3,1.0,-0.6011577777777779
0.25,806,47.42,1.0,-0.5841133333333333
0.25,812,45.04,1.0,-0.6024755555555558
0.25,841,47.16,1.0,-0.5828266666666667
0.25,855,45.18,1.0,-0.5992644444444444
0.25,858,46.52,1.0,-0.5890888888888888
0.25,863,45.2,1.0,-0.5985466666666668
0.25,870,44.74,1.0,-0.6029977777777776
0.25,886,46.46,1.0,-0.5911666666666667
0.25,887,45.16,1.0,-0.5987422222222223
0.25,892,46.78,1.0,-0.5888911111111111
0.25,900,47.06,1.0,-0.5837177777777778
0.25,902,47.74,1.0,-0.5816022222222221
0.25,909,46.12,1.0,-0.5937022222222219
0.25,916,45.84,1.0,-0.5960533333333333
0.25,928,46.98,1.0,-0.5865311111111111
0.25,937,48.68,1.0,-0.5743244444444444
0.25,945,45.0,1.0,-0.6015866666666667
0.25,957,47.1,1.0,-0.5839088888888887
0.25,960,47.06,1.0,-0.5857711111111111
0.25,967,46.16,1.0,-0.5919511111111111
0.25,971,46.04,1.0,-0.5952622222222224
0.25,985,46.36,1.0,-0.5901511111111111
0.25,999,45.68,1.0,-0.5979022222222222
0.25,1004,46.88,1.0,-0.5864133333333336
