resistance,node,metric,max_level,avg_level
0.25,0,3.98,0.96,-0.9885499999999997
0.25,3,3.98,1.0,-0.9887100000000004
0.25,6,4.12,0.96,-0.98874
0.25,7,4.12,0.98,-0.9878999999999999
0.25,14,4.44,0.98,-0.9864599999999999
0.25,21,4.22,0.92,-0.9872900000000001
0.25,22,4.58,0.94,-0.9869099999999997
0.25,23,4.16,0.94,-0.9871599999999997
0.25,29,4.08,0.96,-0.9888199999999998
0.25,32,4.14,0.9,-0.9879499999999998
0.25,37,3.98,0.98,-0.9878099999999996
0.25,41,4.12,0.98,-0.9886399999999999
0.25,42,4.04,0.94,-0.9882799999999997
0.25,43,4.26,0.92,-0.9874299999999998
0.25,47,4.0,0.94,-0.9886999999999999
0.25,49,4.22,0.94,-0.9874499999999999
0.25,59,4.32,0.98,-0.9871199999999996
0.25,62,3.94,0.96,-0.9885900000000001
0.25,66,4.4,1.0,-0.9863999999999998
0.25,67,3.84,0.92,-0.9889000000000003
0.25,71,4.4,0.92,-0.9867799999999997
0.25,75,3.92,0.96,-0.9882599999999999
0.25,76,4.1,0.96,-0.9882899999999998
0.25,79,4.28,0.98,-0.9871199999999999
0.25,80,4.44,0.96,-0.9864799999999997
0.25,87,3.78,0.96,-0.9892500000000001
0.25,88,4.24,0.96,-0.9878199999999998
0.25,89,4.02,0.96,-0.98879
0.25,90,4.7,0.94,-0.9860499999999994
0.25,93,4.22,0.98,-0.9876299999999999
0.25,97,4.28,0.96,-0.9867400000000002
0.25,98,4.62,0.98,-0.98599
0.25,102,4.24,0.94,-0.98692
0.25,103,4.42,0.96,-0.9869499999999995
0.25,104,4.36,0.98,-0.9869000000000001
0.25,105,3.92,0.96,-0.9883999999999997
0.25,106,4.14,0.96,-0.9875900000000004
0.25,107,3.8,0.92,-0.9894399999999998
0.25,108,4.0,0.9,-0.9880599999999998
0.25,110,4.68,1.0,-0.98612
0.25,113,4.5,0.94,-0.9871699999999993
0.25,119,3.96,0.92,-0.9876599999999998
0.25,122,4.44,0.98,-0.9862799999999998
0.25,125,4.24,1.0,-0.98788
