resistance,node,metric,max_level,avg_level
0.25,2,1.06,0.02,-0.9994499999999994
0.25,3,1.16,0.0,-0.9994199999999984
0.25,12,1.12,0.0,-0.9994399999999996
0.25,13,1.18,0.02,-0.9993899999999996
0.25,15,1.06,0.04,-0.9994099999999995
0.25,16,1.14,0.0,-0.9994299999999997
0.25,20,1.08,0.02,-0.9994399999999986
0.25,21,1.08,0.02,-0.9994399999999996
0.25,24,1.16,0.0,-0.9994199999999998
0.25,26,1.06,0.0,-0.9994699999999996
0.25,28,1.1,0.02,-0.9994299999999996
0.25,29,1.18,0.0,-0.9994099999999997
0.25,32,1.04,0.0,-0.9994799999999995
0.25,33,1.12,0.06,-0.9993799999999996
0.25,36,1.2,0.04,-0.9993599999999999
0.25,41,1.06,0.0,-0.9994699999999994
0.25,48,1.08,0.0,-0.9994599999999996
0.25,49,1.06,0.0,-0.9994699999999984
0.25,50,1.04,0.0,-0.9994799999999995
0.25,51,1.08,0.0,-0.9994599999999996
0.25,54,1.18,0.02,-0.9993899999999988
0.25,56,1.1,0.02,-0.9994299999999988
0.25,57,1.02,0.0,-0.9994899999999994
0.25,61,1.1,0.0,-0.9994499999999996
0.25,65,1.1,0.0,-0.9994499999999998
0.25,67,1.08,0.0,-0.9994599999999997
0.25,68,1.08,0.0,-0.9994599999999996
0.25,70,1.1,0.02,-0.9994299999999996
0.25,71,1.14,0.0,-0.9994299999999996
0.25,72,1.08,0.0,-0.9994599999999996
0.25,75,1.04,0.0,-0.9994799999999994
0.25,78,1.06,0.0,-0.9994699999999994
0.25,80,1.04,0.0,-0.9994799999999995
0.25,90,1.1,0.0,-0.9994499999999985
0.25,91,1.14,0.02,-0.9993899999999986
0.25,92,1.08,0.0,-0.9994599999999995
0.25,94,1.08,0.0,-0.9994599999999997
0.25,95,1.08,0.04,-0.9994199999999996
0.25,96,1.06,0.0,-0.9994699999999994
0.25,99,1.16,0.0,-0.9994199999999993
0.25,100,1.1,0.0,-0.99945
0.25,106,1.06,0.0,-0.9994699999999984
0.25,108,1.12,0.0,-0.9994399999999996
0.25,109,1.14,0.02,-0.9994099999999996
0.25,110,1.08,0.02,-0.9994399999999994
0.25,117,1.24,0.06,-0.9993199999999998
0.25,120,1.12,0.0,-0.9994399999999998
0.25,122,1.06,0.02,-0.9994499999999996
0.25,123,1.06,0.0,-0.9994699999999994
0.25,125,1.1,0.0,-0.9994499999999994
0.25,127,1.08,0.0,-0.9994599999999996
0.25,129,1.1,0.0,-0.9994499999999986
0.25,130,1.1,0.0,-0.9994499999999985
0.25,131,1.14,0.0,-0.9994299999999996
0.25,132,1.1,0.02,-0.9994299999999986
0.25,139,1.12,0.02,-0.9994199999999996
0.25,140,1.1,0.04,-0.9994099999999996
0.25,142,1.12,0.0,-0.9994399999999994
0.25,144,1.12,0.02,-0.9994199999999995
0.25,147,1.16,0.0,-0.9994199999999998
0.25,150,1.14,0.02,-0.9994099999999996
0.25,152,1.14,0.02,-0.9994099999999997
0.25,154,1.22,0.02,-0.9993699999999995
0.25,157,1.04,0.0,-0.9994799999999997
0.25,159,1.1,0.02,-0.9994099999999986
0.25,162,1.04,0.02,-0.9994599999999996
0.25,166,1.08,0.02,-0.9994399999999996
0.25,168,1.04,0.0,-0.9994799999999985
0.25,170,1.1,0.0,-0.9994499999999996
0.25,172,1.1,0.0,-0.99945
0.25,173,1.08,0.0,-0.9994599999999995
0.25,174,1.1,0.0,-0.9994499999999995
0.25,175,1.08,0.02,-0.9994400000000031
0.25,181,1.04,0.0,-0.9994799999999995
0.25,183,1.1,0.02,-0.9994299999999988
0.25,186,1.08,0.0,-0.9994599999999986
0.25,187,1.08,0.0,-0.9994599999999995
0.25,188,1.08,0.02,-0.9994399999999998
0.25,194,1.04,0.0,-0.9994799999999995
0.25,195,1.02,0.0,-0.9994899999999994
0.25,197,1.08,0.0,-0.9994599999999995
0.25,199,1.06,0.0,-0.9994699999999994
