resistance,node,metric,max_level,avg_level
0.25,18,1.4,0.22,-0.9997822222222225
0.25,21,1.4,0.16,-0.9998088888888893
0.25,32,1.42,0.18,-0.9997888888888893
0.25,47,1.38,0.18,-0.9997800000000006
0.25,105,1.38,0.18,-0.9997977777777782
0.25,131,1.6,0.26,-0.9997511111111111
0.25,141,1.7,0.24,-0.9997400000000002
0.25,153,1.62,0.22,-0.9997488888888895
0.25,155,1.46,0.24,-0.9997800000000003
0.25,185,1.36,0.14,-0.9998133333333338
0.25,188,1.48,0.18,-0.9997866666666669
0.25,190,1.56,0.22,-0.999764444444445
0.25,197,1.58,0.2,-0.9997444444444449
0.25,211,1.56,0.2,-0.9997688888888894
0.25,214,1.6,0.18,-0.9997644444444448
0.25,219,1.5,0.16,-0.9997977777777781
0.25,229,1.62,0.24,-0.9997355555555558
0.25,231,1.48,0.16,-0.9997911111111114
0.25,234,1.44,0.16,-0.9998000000000014
0.25,237,1.54,0.24,-0.999766666666667
0.25,295,1.62,0.24,-0.9997577777777782
0.25,299,1.42,0.08,-0.9997977777777785
0.25,304,1.42,0.1,-0.999815555555556
0.25,331,1.4,0.14,-0.9998044444444448
0.25,352,1.48,0.2,-0.9997777777777783
0.25,358,1.42,0.12,-0.9998111111111117
0.25,366,1.4,0.1,-0.9998133333333337
0.25,385,1.7,0.32,-0.999717777777778
0.25,397,1.56,0.24,-0.9997422222222226
0.25,398,1.52,0.22,-0.9997688888888896
0.25,403,1.48,0.14,-0.9998000000000001
0.25,412,1.58,0.16,-0.9997666666666671
0.25,418,1.52,0.14,-0.9997911111111115
0.25,432,1.72,0.22,-0.9997466666666667
0.25,435,1.44,0.16,-0.999777777777778
0.25,438,1.48,0.1,-0.9998088888888893
0.25,439,1.34,0.14,-0.9998111111111112
0.25,440,1.38,0.16,-0.9997977777777778
0.25,446,1.46,0.22,-0.9997666666666667
0.25,449,1.22,0.06,-0.9998511111111117
0.25,465,1.54,0.22,-0.9997711111111112
0.25,467,1.7,0.28,-0.9997222222222227
0.25,486,1.46,0.16,-0.9997888888888893
0.25,487,1.46,0.18,-0.9997666666666671
0.25,488,1.56,0.18,-0.9997688888888893
0.25,489,1.46,0.26,-0.9997622222222227
0.25,493,1.46,0.18,-0.9997800000000002
0.25,496,1.52,0.14,-0.9997822222222227
0.25,500,1.54,0.26,-0.999748888888889
0.25,508,1.6,0.2,-0.999773333333334
0.25,510,1.46,0.12,-0.9998022222222227
0.25,545,1.34,0.12,-0.9998200000000004
0.25,551,1.5,0.18,-0.9997800000000003
0.25,557,1.66,0.28,-0.9997133333333335
0.25,578,1.6,0.18,-0.9997600000000005
0.25,604,1.42,0.12,-0.9997977777777782
0.25,613,1.3,0.04,-0.9998377777777783
0.25,618,1.48,0.2,-0.9997511111111116
0.25,621,1.54,0.22,-0.9997577777777781
0.25,623,1.38,0.22,-0.999775555555556
0.25,650,1.36,0.1,-0.9998088888888894
0.25,656,1.48,0.18,-0.9997822222222226
0.25,658,1.36,0.12,-0.9998177777777782
0.25,659,1.42,0.12,-0.999815555555556
0.25,660,1.46,0.1,-0.999815555555556
0.25,664,1.5,0.22,-0.9997711111111116
0.25,667,1.38,0.18,-0.9997933333333338
0.25,673,1.44,0.24,-0.9997600000000004
0.25,677,1.52,0.22,-0.9997600000000004
0.25,682,1.28,0.08,-0.9998266666666673
0.25,687,1.58,0.18,-0.9997666666666667
0.25,707,1.46,0.2,-0.9997888888888895
0.25,713,1.46,0.14,-0.9997844444444448
0.25,714,1.6,0.14,-0.9997822222222226
0.25,755,1.66,0.26,-0.9997400000000002
0.25,772,1.6,0.26,-0.9997333333333341
0.25,773,1.58,0.3,-0.9997400000000003
0.25,774,1.5,0.12,-0.9997977777777781
0.25,790,1.46,0.22,-0.9997622222222227
0.25,810,1.62,0.2,-0.9997488888888897
0.25,821,1.5,0.16,-0.9997755555555559
0.25,826,1.48,0.22,-0.999773333333334
0.25,830,1.46,0.14,-0.9997977777777781
0.25,857,1.44,0.2,-0.9997688888888893
0.25,873,1.42,0.12,-0.999784444444445
0.25,881,1.56,0.2,-0.9997644444444446
0.25,886,1.54,0.16,-0.999775555555556
0.25,889,1.38,0.16,-0.9997977777777782
0.25,912,1.54,0.24,-0.9997577777777782
0.25,938,1.48,0.12,-0.9998000000000004
0.25,942,1.56,0.18,-0.9997466666666669
0.25,947,1.62,0.24,-0.999726666666667
0.25,957,1.46,0.14,-0.9997933333333334
0.25,985,1.54,0.28,-0.9997533333333337
0.25,991,1.68,0.2,-0.9997511111111116
0.25,997,1.4,0.14,-0.9998000000000004
0.25,1023,1.66,0.2,-0.9997577777777781
0.25,1026,1.42,0.14,-0.9997977777777785
0.25,1028,1.46,0.16,-0.9997933333333334
0.25,1040,1.34,0.12,-0.9998244444444448
0.25,1051,1.68,0.22,-0.9997466666666671
0.25,1057,1.34,0.1,-0.9998200000000003
0.25,1058,1.66,0.22,-0.9997355555555556
0.25,1059,1.54,0.14,-0.9997844444444448
0.25,1062,1.62,0.24,-0.9997311111111116
0.25,1063,1.34,0.16,-0.999815555555556
0.25,1066,1.56,0.16,-0.9997822222222225
0.25,1068,1.44,0.2,-0.999773333333334
0.25,1087,1.4,0.14,-0.9997955555555559
0.25,1089,1.46,0.2,-0.9997622222222224
0.25,1092,1.56,0.22,-0.9997466666666672
0.25,1100,1.64,0.2,-0.9997466666666674
0.25,1124,1.54,0.18,-0.9997800000000001
0.25,1125,1.6,0.3,-0.9997377777777778
0.25,1129,1.66,0.26,-0.9997488888888895
0.25,1134,1.54,0.2,-0.9997577777777781
0.25,1145,1.44,0.22,-0.9997911111111114
0.25,1168,1.42,0.04,-0.9998244444444448
