,realization,node,resistance,metric,max_level,avg_level
0,0,456,0.25,107,1,0.3023
1,0,456,0.5,107,1,0.3023
2,0,456,0.75,107,1,0.3023
3,0,456,1.0,107,1,0.3023
4,0,7343,0.25,91,1,0.1793
5,0,7343,0.5,91,1,0.1793
6,0,7343,0.75,91,1,0.1793
7,0,7343,1.0,91,1,0.1793
8,0,3512,0.25,108,1,0.3118
9,0,3512,0.5,108,1,0.3118
10,0,3512,0.75,108,1,0.3118
11,0,3512,1.0,108,1,0.3118
12,0,8814,0.25,100,1,0.2484
13,0,8814,0.5,100,1,0.2484
14,0,8814,0.75,100,1,0.2484
15,0,8814,1.0,100,1,0.2484
16,0,765,0.25,91,1,0.1923
17,0,765,0.5,91,1,0.1923
18,0,765,0.75,91,1,0.1923
19,0,765,1.0,91,1,0.1923
20,0,5175,0.25,89,1,0.1593
21,0,5175,0.5,89,1,0.1593
22,0,5175,0.75,89,1,0.1593
23,0,5175,1.0,89,1,0.1593
24,0,3093,0.25,92,1,0.2022
25,0,3093,0.5,92,1,0.2022
26,0,3093,0.75,92,1,0.2022
27,0,3093,1.0,92,1,0.2022
28,0,6030,0.25,112,1,0.3312
29,0,6030,0.5,112,1,0.3312
30,0,6030,0.75,112,1,0.3312
31,0,6030,1.0,112,1,0.3312
32,0,8169,0.25,101,1,0.2613
33,0,8169,0.5,101,1,0.2613
34,0,8169,0.75,101,1,0.2613
35,0,8169,1.0,101,1,0.2613
36,0,1410,0.25,92,1,0.2038
37,0,1410,0.5,92,1,0.2038
38,0,1410,0.75,92,1,0.2038
39,0,1410,1.0,92,1,0.2038
40,0,4567,0.25,100,1,0.24
41,0,4567,0.5,100,1,0.24
42,0,4567,0.75,100,1,0.24
43,0,4567,1.0,100,1,0.24
44,0,6656,0.25,119,1,0.3723
45,0,6656,0.5,119,1,0.3723
46,0,6656,0.75,119,1,0.3723
47,0,6656,1.0,119,1,0.3723
48,0,3210,0.25,114,1,0.3418
49,0,3210,0.5,114,1,0.3418
50,0,3210,0.75,114,1,0.3418
51,0,3210,1.0,114,1,0.3418
52,0,5916,0.25,98,1,0.24
53,0,5916,0.5,98,1,0.24
54,0,5916,0.75,98,1,0.24
55,0,5916,1.0,98,1,0.24
56,0,1137,0.25,109,1,0.3017
57,0,1137,0.5,109,1,0.3017
58,0,1137,0.75,109,1,0.3017
59,0,1137,1.0,109,1,0.3017
60,0,5406,0.25,137,1,0.4831
61,0,5406,0.5,137,1,0.4831
62,0,5406,0.75,137,1,0.4831
63,0,5406,1.0,137,1,0.4831
64,0,2014,0.25,109,1,0.3287
65,0,2014,0.5,109,1,0.3287
66,0,2014,0.75,109,1,0.3287
67,0,2014,1.0,109,1,0.3287
