,realization,node,resistance,metric,max_level,avg_level
0,0,465,0.2,1000,1,0.387
1,0,465,0.3,1000,1,0.387
2,0,465,0.4,613,1,0.387
3,0,465,0.5,613,1,0.387
4,0,465,0.6,613,1,0.387
5,0,465,0.7,613,1,0.387
6,0,465,0.8,613,1,0.387
7,0,100,0.2,1000,1,0.416
8,0,100,0.3,1000,1,0.416
9,0,100,0.4,584,1,0.416
10,0,100,0.5,584,1,0.416
11,0,100,0.6,584,1,0.416
12,0,100,0.7,584,1,0.416
13,0,100,0.8,584,1,0.416
14,0,801,0.2,1000,1,0.402
15,0,801,0.3,1000,1,0.402
16,0,801,0.4,599,2,0.662
17,0,801,0.5,598,1,0.402
18,0,801,0.6,598,1,0.402
19,0,801,0.7,598,1,0.402
20,0,801,0.8,598,1,0.402
21,0,394,0.2,1000,1,0.409
22,0,394,0.3,1000,1,0.409
23,0,394,0.4,591,1,0.409
24,0,394,0.5,591,1,0.409
25,0,394,0.6,591,1,0.409
26,0,394,0.7,591,1,0.409
27,0,394,0.8,591,1,0.409
28,0,674,0.2,1000,1,0.4
29,0,674,0.3,1000,1,0.4
30,0,674,0.4,601,2,0.639
31,0,674,0.5,600,1,0.4
32,0,674,0.6,600,1,0.4
33,0,674,0.7,600,1,0.4
34,0,674,0.8,600,1,0.4
35,0,765,0.2,1000,1,0.382
36,0,765,0.3,1000,1,0.382
37,0,765,0.4,621,3,0.976
38,0,765,0.5,618,1,0.382
39,0,765,0.6,618,1,0.382
40,0,765,0.7,618,1,0.382
41,0,765,0.8,618,1,0.382
42,0,486,0.2,1000,1,0.399
43,0,486,0.3,1000,1,0.399
44,0,486,0.4,602,2,0.629
45,0,486,0.5,601,1,0.399
46,0,486,0.6,601,1,0.399
47,0,486,0.7,601,1,0.399
48,0,486,0.8,601,1,0.399
49,0,625,0.2,1000,1,0.402
50,0,625,0.3,1000,1,0.402
51,0,625,0.4,598,1,0.402
52,0,625,0.5,598,1,0.402
53,0,625,0.6,598,1,0.402
54,0,625,0.7,598,1,0.402
55,0,625,0.8,598,1,0.402
56,0,740,0.2,1000,1,0.392
57,0,740,0.3,1000,1,0.392
58,0,740,0.4,608,1,0.392
59,0,740,0.5,608,1,0.392
60,0,740,0.6,608,1,0.392
61,0,740,0.7,608,1,0.392
62,0,740,0.8,608,1,0.392
63,0,205,0.2,1000,1,0.394
64,0,205,0.3,1000,1,0.394
65,0,205,0.4,606,1,0.394
66,0,205,0.5,606,1,0.394
67,0,205,0.6,606,1,0.394
68,0,205,0.7,606,1,0.394
69,0,205,0.8,606,1,0.394
70,0,181,0.2,1000,1,0.423
71,0,181,0.3,1000,1,0.423
72,0,181,0.4,577,1,0.423
73,0,181,0.5,577,1,0.423
74,0,181,0.6,577,1,0.423
75,0,181,0.7,577,1,0.423
76,0,181,0.8,577,1,0.423
77,0,93,0.2,1000,1,0.425
78,0,93,0.3,1000,1,0.425
79,0,93,0.4,575,1,0.425
80,0,93,0.5,575,1,0.425
81,0,93,0.6,575,1,0.425
82,0,93,0.7,575,1,0.425
83,0,93,0.8,575,1,0.425
84,0,512,0.2,1000,1,0.437
85,0,512,0.3,1000,1,0.437
86,0,512,0.4,563,1,0.437
87,0,512,0.5,563,1,0.437
88,0,512,0.6,563,1,0.437
89,0,512,0.7,563,1,0.437
90,0,512,0.8,563,1,0.437
91,0,678,0.2,1000,1,0.397
92,0,678,0.3,1000,1,0.397
93,0,678,0.4,603,1,0.397
94,0,678,0.5,603,1,0.397
95,0,678,0.6,603,1,0.397
96,0,678,0.7,603,1,0.397
97,0,678,0.8,603,1,0.397
98,0,770,0.2,1000,1,0.402
99,0,770,0.3,1000,1,0.402
100,0,770,0.4,598,1,0.402
101,0,770,0.5,598,1,0.402
102,0,770,0.6,598,1,0.402
103,0,770,0.7,598,1,0.402
104,0,770,0.8,598,1,0.402
105,0,45,0.2,1000,1,0.398
106,0,45,0.3,1000,1,0.398
107,0,45,0.4,602,1,0.398
108,0,45,0.5,602,1,0.398
109,0,45,0.6,602,1,0.398
110,0,45,0.7,602,1,0.398
111,0,45,0.8,602,1,0.398
112,0,277,0.2,1000,1,0.406
113,0,277,0.3,1000,1,0.406
114,0,277,0.4,594,1,0.406
115,0,277,0.5,594,1,0.406
116,0,277,0.6,594,1,0.406
117,0,277,0.7,594,1,0.406
118,0,277,0.8,594,1,0.406
119,0,189,0.2,1000,1,0.385
120,0,189,0.3,1000,1,0.385
121,0,189,0.4,618,3,0.977
122,0,189,0.5,615,1,0.385
123,0,189,0.6,615,1,0.385
124,0,189,0.7,615,1,0.385
125,0,189,0.8,615,1,0.385
126,0,616,0.2,1000,1,0.413
127,0,616,0.3,1000,1,0.413
128,0,616,0.4,587,1,0.413
129,0,616,0.5,587,1,0.413
130,0,616,0.6,587,1,0.413
131,0,616,0.7,587,1,0.413
132,0,616,0.8,587,1,0.413
133,0,172,0.2,1000,1,0.395
134,0,172,0.3,1000,1,0.395
135,0,172,0.4,605,1,0.395
136,0,172,0.5,605,1,0.395
137,0,172,0.6,605,1,0.395
138,0,172,0.7,605,1,0.395
139,0,172,0.8,605,1,0.395
140,0,876,0.2,1000,1,0.388
141,0,876,0.3,1000,1,0.388
142,0,876,0.4,613,2,0.621
143,0,876,0.5,612,1,0.388
144,0,876,0.6,612,1,0.388
145,0,876,0.7,612,1,0.388
146,0,876,0.8,612,1,0.388
147,0,78,0.2,1000,1,0.406
148,0,78,0.3,1000,1,0.406
149,0,78,0.4,594,1,0.406
150,0,78,0.5,594,1,0.406
151,0,78,0.6,594,1,0.406
152,0,78,0.7,594,1,0.406
153,0,78,0.8,594,1,0.406
154,0,967,0.2,1000,1,0.407
155,0,967,0.3,1000,1,0.407
156,0,967,0.4,593,1,0.407
157,0,967,0.5,593,1,0.407
158,0,967,0.6,593,1,0.407
159,0,967,0.7,593,1,0.407
160,0,967,0.8,593,1,0.407
161,0,96,0.2,1000,1,0.388
162,0,96,0.3,1000,1,0.388
163,0,96,0.4,614,2,0.714
164,0,96,0.5,612,1,0.388
165,0,96,0.6,612,1,0.388
166,0,96,0.7,612,1,0.388
167,0,96,0.8,612,1,0.388
168,0,166,0.2,1000,1,0.404
169,0,166,0.3,1000,1,0.404
170,0,166,0.4,597,2,0.658
171,0,166,0.5,596,1,0.404
172,0,166,0.6,596,1,0.404
173,0,166,0.7,596,1,0.404
174,0,166,0.8,596,1,0.404
175,0,302,0.2,1000,1,0.398
176,0,302,0.3,1000,1,0.398
177,0,302,0.4,602,1,0.398
178,0,302,0.5,602,1,0.398
179,0,302,0.6,602,1,0.398
180,0,302,0.7,602,1,0.398
181,0,302,0.8,602,1,0.398
182,0,200,0.2,1000,1,0.412
183,0,200,0.3,1000,1,0.412
184,0,200,0.4,588,1,0.412
185,0,200,0.5,588,1,0.412
186,0,200,0.6,588,1,0.412
187,0,200,0.7,588,1,0.412
188,0,200,0.8,588,1,0.412
189,0,531,0.2,1000,1,0.404
190,0,531,0.3,1000,1,0.404
191,0,531,0.4,596,1,0.404
192,0,531,0.5,596,1,0.404
193,0,531,0.6,596,1,0.404
194,0,531,0.7,596,1,0.404
195,0,531,0.8,596,1,0.404
196,0,762,0.2,1000,1,0.444
197,0,762,0.3,1000,1,0.444
198,0,762,0.4,556,1,0.444
199,0,762,0.5,556,1,0.444
200,0,762,0.6,556,1,0.444
201,0,762,0.7,556,1,0.444
202,0,762,0.8,556,1,0.444
203,0,757,0.2,1000,1,0.396
204,0,757,0.3,1000,1,0.396
205,0,757,0.4,604,1,0.396
206,0,757,0.5,604,1,0.396
207,0,757,0.6,604,1,0.396
208,0,757,0.7,604,1,0.396
209,0,757,0.8,604,1,0.396
210,0,586,0.2,1000,1,0.391
211,0,586,0.3,1000,1,0.391
212,0,586,0.4,609,1,0.391
213,0,586,0.5,609,1,0.391
214,0,586,0.6,609,1,0.391
215,0,586,0.7,609,1,0.391
216,0,586,0.8,609,1,0.391
217,0,669,0.2,1000,1,0.414
218,0,669,0.3,1000,1,0.414
219,0,669,0.4,586,1,0.414
220,0,669,0.5,586,1,0.414
221,0,669,0.6,586,1,0.414
222,0,669,0.7,586,1,0.414
223,0,669,0.8,586,1,0.414
224,0,95,0.2,1000,1,0.352
225,0,95,0.3,1000,1,0.352
226,0,95,0.4,1000,3,0.646
227,0,95,0.5,648,1,0.352
228,0,95,0.6,648,1,0.352
229,0,95,0.7,648,1,0.352
230,0,95,0.8,648,1,0.352
231,0,499,0.2,1000,1,0.414
232,0,499,0.3,1000,1,0.414
233,0,499,0.4,586,1,0.414
234,0,499,0.5,586,1,0.414
235,0,499,0.6,586,1,0.414
236,0,499,0.7,586,1,0.414
237,0,499,0.8,586,1,0.414
238,0,163,0.2,1000,1,0.422
239,0,163,0.3,1000,1,0.422
240,0,163,0.4,578,1,0.422
241,0,163,0.5,578,1,0.422
242,0,163,0.6,578,1,0.422
243,0,163,0.7,578,1,0.422
244,0,163,0.8,578,1,0.422
245,0,389,0.2,1000,1,0.401
246,0,389,0.3,1000,1,0.401
247,0,389,0.4,599,1,0.401
248,0,389,0.5,599,1,0.401
249,0,389,0.6,599,1,0.401
250,0,389,0.7,599,1,0.401
251,0,389,0.8,599,1,0.401
252,0,239,0.2,1000,1,0.383
253,0,239,0.3,1000,1,0.383
254,0,239,0.4,621,2,0.751
255,0,239,0.5,617,1,0.383
256,0,239,0.6,617,1,0.383
257,0,239,0.7,617,1,0.383
258,0,239,0.8,617,1,0.383
259,0,879,0.2,1000,1,0.384
260,0,879,0.3,1000,1,0.384
261,0,879,0.4,619,2,0.737
262,0,879,0.5,616,1,0.384
263,0,879,0.6,616,1,0.384
264,0,879,0.7,616,1,0.384
265,0,879,0.8,616,1,0.384
266,0,273,0.2,1000,1,0.392
267,0,273,0.3,1000,1,0.392
268,0,273,0.4,610,2,0.73
269,0,273,0.5,608,1,0.392
270,0,273,0.6,608,1,0.392
271,0,273,0.7,608,1,0.392
272,0,273,0.8,608,1,0.392
273,0,586,0.2,1000,1,0.391
274,0,586,0.3,1000,1,0.391
275,0,586,0.4,609,1,0.391
276,0,586,0.5,609,1,0.391
277,0,586,0.6,609,1,0.391
278,0,586,0.7,609,1,0.391
279,0,586,0.8,609,1,0.391
280,0,299,0.2,1000,1,0.411
281,0,299,0.3,1000,1,0.411
282,0,299,0.4,589,1,0.411
283,0,299,0.5,589,1,0.411
284,0,299,0.6,589,1,0.411
285,0,299,0.7,589,1,0.411
286,0,299,0.8,589,1,0.411
287,0,195,0.2,1000,1,0.407
288,0,195,0.3,1000,1,0.407
289,0,195,0.4,593,1,0.407
290,0,195,0.5,593,1,0.407
291,0,195,0.6,593,1,0.407
292,0,195,0.7,593,1,0.407
293,0,195,0.8,593,1,0.407
294,0,257,0.2,1000,1,0.418
295,0,257,0.3,1000,1,0.418
296,0,257,0.4,582,1,0.418
297,0,257,0.5,582,1,0.418
298,0,257,0.6,582,1,0.418
299,0,257,0.7,582,1,0.418
300,0,257,0.8,582,1,0.418
301,0,796,0.2,1000,1,0.391
302,0,796,0.3,1000,1,0.391
303,0,796,0.4,609,1,0.391
304,0,796,0.5,609,1,0.391
305,0,796,0.6,609,1,0.391
306,0,796,0.7,609,1,0.391
307,0,796,0.8,609,1,0.391
308,0,436,0.2,1000,1,0.404
309,0,436,0.3,1000,1,0.404
310,0,436,0.4,596,1,0.404
311,0,436,0.5,596,1,0.404
312,0,436,0.6,596,1,0.404
313,0,436,0.7,596,1,0.404
314,0,436,0.8,596,1,0.404
315,0,570,0.2,1000,1,0.373
316,0,570,0.3,1000,1,0.373
317,0,570,0.4,1000,5,1.464
318,0,570,0.5,627,1,0.373
319,0,570,0.6,627,1,0.373
320,0,570,0.7,627,1,0.373
321,0,570,0.8,627,1,0.373
322,0,196,0.2,1000,1,0.414
323,0,196,0.3,1000,1,0.414
324,0,196,0.4,586,1,0.414
325,0,196,0.5,586,1,0.414
326,0,196,0.6,586,1,0.414
327,0,196,0.7,586,1,0.414
328,0,196,0.8,586,1,0.414
329,0,772,0.2,1000,1,0.403
330,0,772,0.3,1000,1,0.403
331,0,772,0.4,598,2,0.655
332,0,772,0.5,597,1,0.403
333,0,772,0.6,597,1,0.403
334,0,772,0.7,597,1,0.403
335,0,772,0.8,597,1,0.403
336,0,93,0.2,1000,1,0.425
337,0,93,0.3,1000,1,0.425
338,0,93,0.4,575,1,0.425
339,0,93,0.5,575,1,0.425
340,0,93,0.6,575,1,0.425
341,0,93,0.7,575,1,0.425
342,0,93,0.8,575,1,0.425
343,0,133,0.2,1000,1,0.427
344,0,133,0.3,1000,1,0.427
345,0,133,0.4,573,1,0.427
346,0,133,0.5,573,1,0.427
347,0,133,0.6,573,1,0.427
348,0,133,0.7,573,1,0.427
349,0,133,0.8,573,1,0.427
350,0,156,0.2,1000,1,0.398
351,0,156,0.3,1000,1,0.398
352,0,156,0.4,603,2,0.629
353,0,156,0.5,602,1,0.398
354,0,156,0.6,602,1,0.398
355,0,156,0.7,602,1,0.398
356,0,156,0.8,602,1,0.398
357,0,266,0.2,1000,1,0.39
358,0,266,0.3,1000,1,0.39
359,0,266,0.4,611,2,0.633
360,0,266,0.5,610,1,0.39
361,0,266,0.6,610,1,0.39
362,0,266,0.7,610,1,0.39
363,0,266,0.8,610,1,0.39
364,0,564,0.2,1000,1,0.407
365,0,564,0.3,1000,1,0.407
366,0,564,0.4,593,1,0.407
367,0,564,0.5,593,1,0.407
368,0,564,0.6,593,1,0.407
369,0,564,0.7,593,1,0.407
370,0,564,0.8,593,1,0.407
371,0,703,0.2,1000,1,0.388
372,0,703,0.3,1000,1,0.388
373,0,703,0.4,612,1,0.388
374,0,703,0.5,612,1,0.388
375,0,703,0.6,612,1,0.388
376,0,703,0.7,612,1,0.388
377,0,703,0.8,612,1,0.388
378,0,696,0.2,1000,1,0.386
379,0,696,0.3,1000,1,0.386
380,0,696,0.4,615,2,0.636
381,0,696,0.5,614,1,0.386
382,0,696,0.6,614,1,0.386
383,0,696,0.7,614,1,0.386
384,0,696,0.8,614,1,0.386
385,0,623,0.2,1000,1,0.412
386,0,623,0.3,1000,1,0.412
387,0,623,0.4,588,1,0.412
