,realization,node,resistance,metric,max_level,avg_level
0,0,2400,0.2,5000,1,0.2934
1,0,2400,0.3,5000,1,0.2934
2,0,2400,0.4,5000,1,0.2934
3,0,2400,0.5,5000,2,0.539
4,0,2400,0.6,3533,1,0.2934
5,0,2400,0.7,3533,1,0.2934
6,0,2400,0.8,3533,1,0.2934
7,0,2138,0.2,5000,1,0.3084
8,0,2138,0.3,5000,1,0.3084
9,0,2138,0.4,5000,1,0.3084
10,0,2138,0.5,3459,2,0.5246
11,0,2138,0.6,3458,1,0.3084
12,0,2138,0.7,3458,1,0.3084
13,0,2138,0.8,3458,1,0.3084
14,0,3769,0.2,5000,1,0.2922
15,0,3769,0.3,5000,1,0.2922
16,0,3769,0.4,5000,1,0.2922
17,0,3769,0.5,5000,2,0.529
18,0,3769,0.6,3539,1,0.2922
19,0,3769,0.7,3539,1,0.2922
20,0,3769,0.8,3539,1,0.2922
21,0,2153,0.2,5000,1,0.3018
22,0,2153,0.3,5000,1,0.3018
23,0,2153,0.4,5000,1,0.3018
24,0,2153,0.5,5000,4,0.892
25,0,2153,0.6,3491,1,0.3018
26,0,2153,0.7,3491,1,0.3018
27,0,2153,0.8,3491,1,0.3018
28,0,2891,0.2,5000,1,0.3062
29,0,2891,0.3,5000,1,0.3062
30,0,2891,0.4,5000,1,0.3062
31,0,2891,0.5,5000,12,3.4538
32,0,2891,0.6,3469,1,0.3062
33,0,2891,0.7,3469,1,0.3062
34,0,2891,0.8,3469,1,0.3062
35,0,41,0.2,5000,1,0.2896
36,0,41,0.3,5000,1,0.2896
37,0,41,0.4,5000,1,0.2896
38,0,41,0.5,5000,2,0.4878
39,0,41,0.6,3552,1,0.2896
40,0,41,0.7,3552,1,0.2896
41,0,41,0.8,3552,1,0.2896
42,0,4084,0.2,5000,1,0.3086
43,0,4084,0.3,5000,1,0.3086
44,0,4084,0.4,5000,1,0.3086
45,0,4084,0.5,3459,2,0.5908
46,0,4084,0.6,3457,1,0.3086
47,0,4084,0.7,3457,1,0.3086
48,0,4084,0.8,3457,1,0.3086
49,0,4209,0.2,5000,1,0.2902
50,0,4209,0.3,5000,1,0.2902
51,0,4209,0.4,5000,1,0.2902
52,0,4209,0.5,5000,2,0.5028
53,0,4209,0.6,3549,1,0.2902
54,0,4209,0.7,3549,1,0.2902
55,0,4209,0.8,3549,1,0.2902
56,0,3808,0.2,5000,1,0.2928
57,0,3808,0.3,5000,1,0.2928
58,0,3808,0.4,5000,1,0.2928
59,0,3808,0.5,5000,2,0.5304
60,0,3808,0.6,3536,1,0.2928
61,0,3808,0.7,3536,1,0.2928
