resistance,node,metric,max_level,avg_level
0.2,45,5000.0,1.0,0.29953199999999996
0.2,72,5000.0,1.0,0.30028799999999994
0.2,153,5000.0,1.0,0.30033999999999983
0.2,167,5000.0,1.0,0.30051199999999995
0.2,278,5000.0,1.0,0.29932400000000003
0.2,308,5000.0,1.0,0.3019
0.2,336,5000.0,1.0,0.301188
0.2,384,5000.0,1.0,0.301524
0.2,410,5000.0,1.0,0.30088800000000004
0.2,430,5000.0,1.0,0.30110400000000004
0.2,459,5000.0,1.0,0.30027999999999994
0.2,521,5000.0,1.0,0.29942399999999997
0.2,531,5000.0,1.0,0.3015520000000001
0.2,556,5000.0,1.0,0.3006799999999999
0.2,576,5000.0,1.0,0.30046399999999995
0.2,664,5000.0,1.0,0.30050799999999994
0.2,715,5000.0,1.0,0.30097199999999996
0.2,731,5000.0,1.0,0.29882000000000003
0.2,750,5000.0,1.0,0.300676
0.2,1087,5000.0,1.0,0.29924399999999995
0.2,1117,5000.0,1.0,0.29694
0.2,1334,5000.0,1.0,0.299216
0.2,1360,5000.0,1.0,0.30046800000000007
0.2,1401,5000.0,1.0,0.3006960000000001
0.2,1605,5000.0,1.0,0.30067199999999994
0.2,1692,5000.0,1.0,0.299408
0.2,1693,5000.0,1.0,0.30034
0.2,1694,5000.0,1.0,0.300708
0.2,1696,5000.0,1.0,0.299692
0.2,1714,5000.0,1.0,0.2976519999999999
0.2,1722,5000.0,1.0,0.3011960000000001
0.2,1784,5000.0,1.0,0.30094800000000005
0.2,1786,5000.0,1.0,0.300924
0.2,1877,5000.0,1.0,0.2988440000000001
0.2,1914,5000.0,1.0,0.29998800000000003
0.2,1985,5000.0,1.0,0.30057600000000007
0.2,2021,5000.0,1.0,0.2985439999999999
0.2,2032,5000.0,1.0,0.299656
0.2,2041,5000.0,1.0,0.30126
0.2,2079,5000.0,1.0,0.301244
0.2,2096,5000.0,1.0,0.30011200000000005
0.2,2344,5000.0,1.0,0.30054800000000004
0.2,2402,5000.0,1.0,0.29953199999999996
0.2,2465,5000.0,1.0,0.301276
0.2,2467,5000.0,1.0,0.29982
0.2,2533,5000.0,1.0,0.3008559999999999
0.2,2602,5000.0,1.0,0.29961199999999993
0.2,2621,5000.0,1.0,0.30003600000000014
0.2,2639,5000.0,1.0,0.29999599999999993
