,realization,node,resistance,metric,max_level,avg_level
0,0,3625,0.2,5000,1,0.3922
1,0,3625,0.3,5000,1,0.3922
2,0,3625,0.4,3039,1,0.3922
3,0,3625,0.5,3039,1,0.3922
4,0,3625,0.6,3039,1,0.3922
5,0,3625,0.7,3039,1,0.3922
6,0,3625,0.8,3039,1,0.3922
7,0,2474,0.2,5000,1,0.3958
8,0,2474,0.3,5000,1,0.3958
9,0,2474,0.4,3021,1,0.3958
10,0,2474,0.5,3021,1,0.3958
11,0,2474,0.6,3021,1,0.3958
12,0,2474,0.7,3021,1,0.3958
13,0,2474,0.8,3021,1,0.3958
14,0,2306,0.2,5000,1,0.4104
15,0,2306,0.3,5000,1,0.4104
16,0,2306,0.4,2948,1,0.4104
17,0,2306,0.5,2948,1,0.4104
18,0,2306,0.6,2948,1,0.4104
19,0,2306,0.7,2948,1,0.4104
20,0,2306,0.8,2948,1,0.4104
21,0,3108,0.2,5000,1,0.4046
22,0,3108,0.3,5000,1,0.4046
23,0,3108,0.4,2977,1,0.4046
24,0,3108,0.5,2977,1,0.4046
25,0,3108,0.6,2977,1,0.4046
26,0,3108,0.7,2977,1,0.4046
27,0,3108,0.8,2977,1,0.4046
28,0,298,0.2,5000,1,0.3922
29,0,298,0.3,5000,1,0.3922
30,0,298,0.4,3039,1,0.3922
31,0,298,0.5,3039,1,0.3922
32,0,298,0.6,3039,1,0.3922
33,0,298,0.7,3039,1,0.3922
34,0,298,0.8,3039,1,0.3922
35,0,1102,0.2,5000,1,0.3966
36,0,1102,0.3,5000,1,0.3966
37,0,1102,0.4,3017,1,0.3966
38,0,1102,0.5,3017,1,0.3966
39,0,1102,0.6,3017,1,0.3966
40,0,1102,0.7,3017,1,0.3966
41,0,1102,0.8,3017,1,0.3966
42,0,610,0.2,5000,1,0.3988
43,0,610,0.3,5000,1,0.3988
44,0,610,0.4,3006,1,0.3988
45,0,610,0.5,3006,1,0.3988
46,0,610,0.6,3006,1,0.3988
47,0,610,0.7,3006,1,0.3988
48,0,610,0.8,3006,1,0.3988
49,0,3704,0.2,5000,1,0.4084
50,0,3704,0.3,5000,1,0.4084
51,0,3704,0.4,2958,1,0.4084
52,0,3704,0.5,2958,1,0.4084
53,0,3704,0.6,2958,1,0.4084
54,0,3704,0.7,2958,1,0.4084
55,0,3704,0.8,2958,1,0.4084
56,0,1984,0.2,5000,1,0.4002
57,0,1984,0.3,5000,1,0.4002
58,0,1984,0.4,2999,1,0.4002
59,0,1984,0.5,2999,1,0.4002
60,0,1984,0.6,2999,1,0.4002
61,0,1984,0.7,2999,1,0.4002
62,0,1984,0.8,2999,1,0.4002
63,0,2747,0.2,5000,1,0.3986
64,0,2747,0.3,5000,1,0.3986
65,0,2747,0.4,3007,1,0.3986
66,0,2747,0.5,3007,1,0.3986
67,0,2747,0.6,3007,1,0.3986
68,0,2747,0.7,3007,1,0.3986
69,0,2747,0.8,3007,1,0.3986
70,0,3379,0.2,5000,1,0.395
71,0,3379,0.3,5000,1,0.395
72,0,3379,0.4,3025,1,0.395
73,0,3379,0.5,3025,1,0.395
74,0,3379,0.6,3025,1,0.395
75,0,3379,0.7,3025,1,0.395
76,0,3379,0.8,3025,1,0.395
77,0,3137,0.2,5000,1,0.4022
78,0,3137,0.3,5000,1,0.4022
79,0,3137,0.4,2989,1,0.4022
80,0,3137,0.5,2989,1,0.4022
81,0,3137,0.6,2989,1,0.4022
82,0,3137,0.7,2989,1,0.4022
83,0,3137,0.8,2989,1,0.4022
84,0,2502,0.2,5000,1,0.396
85,0,2502,0.3,5000,1,0.396
86,0,2502,0.4,3020,1,0.396
87,0,2502,0.5,3020,1,0.396
88,0,2502,0.6,3020,1,0.396
89,0,2502,0.7,3020,1,0.396
90,0,2502,0.8,3020,1,0.396
91,0,4384,0.2,5000,1,0.3978
92,0,4384,0.3,5000,1,0.3978
93,0,4384,0.4,3011,1,0.3978
94,0,4384,0.5,3011,1,0.3978
95,0,4384,0.6,3011,1,0.3978
96,0,4384,0.7,3011,1,0.3978
97,0,4384,0.8,3011,1,0.3978
98,0,128,0.2,5000,1,0.4006
99,0,128,0.3,5000,1,0.4006
100,0,128,0.4,2997,1,0.4006
