,realization,node,resistance,metric,max_level,avg_level
0,0,6811,0.2,10000,1,0.3999
1,0,6811,0.3,10000,1,0.3999
2,0,6811,0.4,6001,1,0.3999
3,0,6811,0.5,6001,1,0.3999
4,0,6811,0.6,6001,1,0.3999
5,0,6811,0.7,6001,1,0.3999
6,0,6811,0.8,6001,1,0.3999
7,0,4087,0.2,10000,1,0.3884
8,0,4087,0.3,10000,1,0.3884
9,0,4087,0.4,6116,1,0.3884
10,0,4087,0.5,6116,1,0.3884
11,0,4087,0.6,6116,1,0.3884
12,0,4087,0.7,6116,1,0.3884
13,0,4087,0.8,6116,1,0.3884
14,0,4785,0.2,10000,1,0.3988
15,0,4785,0.3,10000,1,0.3988
16,0,4785,0.4,6012,1,0.3988
17,0,4785,0.5,6012,1,0.3988
18,0,4785,0.6,6012,1,0.3988
19,0,4785,0.7,6012,1,0.3988
20,0,4785,0.8,6012,1,0.3988
21,0,869,0.2,10000,1,0.3965
22,0,869,0.3,10000,1,0.3965
23,0,869,0.4,6035,1,0.3965
24,0,869,0.5,6035,1,0.3965
25,0,869,0.6,6035,1,0.3965
26,0,869,0.7,6035,1,0.3965
27,0,869,0.8,6035,1,0.3965
28,0,3327,0.2,10000,1,0.3963
29,0,3327,0.3,10000,1,0.3963
30,0,3327,0.4,6037,1,0.3963
31,0,3327,0.5,6037,1,0.3963
32,0,3327,0.6,6037,1,0.3963
33,0,3327,0.7,6037,1,0.3963
34,0,3327,0.8,6037,1,0.3963
35,0,5282,0.2,10000,1,0.3975
36,0,5282,0.3,10000,1,0.3975
37,0,5282,0.4,6025,1,0.3975
38,0,5282,0.5,6025,1,0.3975
39,0,5282,0.6,6025,1,0.3975
40,0,5282,0.7,6025,1,0.3975
41,0,5282,0.8,6025,1,0.3975
42,0,3929,0.2,10000,1,0.3983
43,0,3929,0.3,10000,1,0.3983
44,0,3929,0.4,6017,1,0.3983
45,0,3929,0.5,6017,1,0.3983
46,0,3929,0.6,6017,1,0.3983
47,0,3929,0.7,6017,1,0.3983
48,0,3929,0.8,6017,1,0.3983
49,0,3251,0.2,10000,1,0.398
50,0,3251,0.3,10000,1,0.398
51,0,3251,0.4,6020,1,0.398
52,0,3251,0.5,6020,1,0.398
53,0,3251,0.6,6020,1,0.398
54,0,3251,0.7,6020,1,0.398
55,0,3251,0.8,6020,1,0.398
56,0,8682,0.2,10000,1,0.391
57,0,8682,0.3,10000,1,0.391
58,0,8682,0.4,6090,1,0.391
59,0,8682,0.5,6090,1,0.391
60,0,8682,0.6,6090,1,0.391
61,0,8682,0.7,6090,1,0.391
62,0,8682,0.8,6090,1,0.391
63,0,4775,0.2,10000,1,0.3937
64,0,4775,0.3,10000,1,0.3937
65,0,4775,0.4,6063,1,0.3937
66,0,4775,0.5,6063,1,0.3937
67,0,4775,0.6,6063,1,0.3937
68,0,4775,0.7,6063,1,0.3937
69,0,4775,0.8,6063,1,0.3937
70,0,3477,0.2,10000,1,0.3979
71,0,3477,0.3,10000,1,0.3979
72,0,3477,0.4,6021,1,0.3979
73,0,3477,0.5,6021,1,0.3979
74,0,3477,0.6,6021,1,0.3979
75,0,3477,0.7,6021,1,0.3979
76,0,3477,0.8,6021,1,0.3979
77,0,2594,0.2,10000,1,0.4093
78,0,2594,0.3,10000,1,0.4093
79,0,2594,0.4,5907,1,0.4093
80,0,2594,0.5,5907,1,0.4093
81,0,2594,0.6,5907,1,0.4093
82,0,2594,0.7,5907,1,0.4093
83,0,2594,0.8,5907,1,0.4093
84,0,6347,0.2,10000,1,0.405
85,0,6347,0.3,10000,1,0.405
86,0,6347,0.4,5950,1,0.405
87,0,6347,0.5,5950,1,0.405
88,0,6347,0.6,5950,1,0.405
89,0,6347,0.7,5950,1,0.405
90,0,6347,0.8,5950,1,0.405
91,0,3086,0.2,10000,1,0.4038
92,0,3086,0.3,10000,1,0.4038
93,0,3086,0.4,5962,1,0.4038
94,0,3086,0.5,5962,1,0.4038
95,0,3086,0.6,5962,1,0.4038
96,0,3086,0.7,5962,1,0.4038
97,0,3086,0.8,5962,1,0.4038
98,0,895,0.2,10000,1,0.3967
99,0,895,0.3,10000,1,0.3967
100,0,895,0.4,6033,1,0.3967
101,0,895,0.5,6033,1,0.3967
102,0,895,0.6,6033,1,0.3967
103,0,895,0.7,6033,1,0.3967
