,realization,node,resistance,metric,max_level,avg_level
0,0,338,0.25,5000,1,0.2972
1,0,338,0.35,5000,1,0.2972
2,0,338,0.45,5000,1,0.2972
3,0,338,0.55,3514,1,0.2972
4,0,338,0.65,3514,1,0.2972
5,0,338,0.75,3514,1,0.2972
6,0,1675,0.25,5000,1,0.2944
7,0,1675,0.35,5000,1,0.2944
8,0,1675,0.45,5000,1,0.2944
9,0,1675,0.55,3528,1,0.2944
10,0,1675,0.65,3528,1,0.2944
11,0,1675,0.75,3528,1,0.2944
12,0,4768,0.25,5000,1,0.2968
13,0,4768,0.35,5000,1,0.2968
14,0,4768,0.45,5000,1,0.2968
15,0,4768,0.55,3516,1,0.2968
16,0,4768,0.65,3516,1,0.2968
17,0,4768,0.75,3516,1,0.2968
18,0,2620,0.25,5000,1,0.3014
19,0,2620,0.35,5000,1,0.3014
20,0,2620,0.45,5000,1,0.3014
21,0,2620,0.55,3493,1,0.3014
22,0,2620,0.65,3493,1,0.3014
23,0,2620,0.75,3493,1,0.3014
24,0,2588,0.25,5000,1,0.3048
25,0,2588,0.35,5000,1,0.3048
26,0,2588,0.45,5000,1,0.3048
27,0,2588,0.55,3476,1,0.3048
28,0,2588,0.65,3476,1,0.3048
29,0,2588,0.75,3476,1,0.3048
30,0,1088,0.25,5000,1,0.3012
31,0,1088,0.35,5000,1,0.3012
32,0,1088,0.45,5000,1,0.3012
33,0,1088,0.55,3494,1,0.3012
34,0,1088,0.65,3494,1,0.3012
35,0,1088,0.75,3494,1,0.3012
36,0,4217,0.25,5000,1,0.2958
37,0,4217,0.35,5000,1,0.2958
38,0,4217,0.45,5000,1,0.2958
39,0,4217,0.55,3521,1,0.2958
40,0,4217,0.65,3521,1,0.2958
41,0,4217,0.75,3521,1,0.2958
42,0,388,0.25,5000,1,0.2996
43,0,388,0.35,5000,1,0.2996
44,0,388,0.45,5000,1,0.2996
45,0,388,0.55,3502,1,0.2996
46,0,388,0.65,3502,1,0.2996
47,0,388,0.75,3502,1,0.2996
48,0,2248,0.25,5000,1,0.31
49,0,2248,0.35,5000,1,0.31
50,0,2248,0.45,5000,1,0.31
51,0,2248,0.55,3450,1,0.31
52,0,2248,0.65,3450,1,0.31
53,0,2248,0.75,3450,1,0.31
54,0,2146,0.25,5000,1,0.3014
55,0,2146,0.35,5000,1,0.3014
56,0,2146,0.45,5000,1,0.3014
57,0,2146,0.55,3493,1,0.3014
58,0,2146,0.65,3493,1,0.3014
59,0,2146,0.75,3493,1,0.3014
60,0,4952,0.25,5000,1,0.2962
61,0,4952,0.35,5000,1,0.2962
62,0,4952,0.45,5000,1,0.2962
63,0,4952,0.55,3519,1,0.2962
64,0,4952,0.65,3519,1,0.2962
65,0,4952,0.75,3519,1,0.2962
66,0,1158,0.25,5000,1,0.2994
67,0,1158,0.35,5000,1,0.2994
68,0,1158,0.45,5000,1,0.2994
69,0,1158,0.55,3503,1,0.2994
70,0,1158,0.65,3503,1,0.2994
71,0,1158,0.75,3503,1,0.2994
72,0,3134,0.25,5000,1,0.3028
73,0,3134,0.35,5000,1,0.3028
74,0,3134,0.45,5000,1,0.3028
75,0,3134,0.55,3486,1,0.3028
76,0,3134,0.65,3486,1,0.3028
77,0,3134,0.75,3486,1,0.3028
78,0,4748,0.25,5000,1,0.298
79,0,4748,0.35,5000,1,0.298
80,0,4748,0.45,5000,1,0.298
81,0,4748,0.55,3510,1,0.298
82,0,4748,0.65,3510,1,0.298
83,0,4748,0.75,3510,1,0.298
84,0,3549,0.25,5000,1,0.296
85,0,3549,0.35,5000,1,0.296
86,0,3549,0.45,5000,1,0.296
87,0,3549,0.55,3520,1,0.296
88,0,3549,0.65,3520,1,0.296
89,0,3549,0.75,3520,1,0.296
90,0,433,0.25,5000,1,0.2962
91,0,433,0.35,5000,1,0.2962
92,0,433,0.45,5000,1,0.2962
93,0,433,0.55,3519,1,0.2962
94,0,433,0.65,3519,1,0.2962
95,0,433,0.75,3519,1,0.2962
96,0,2940,0.25,5000,1,0.3018
97,0,2940,0.35,5000,1,0.3018
98,0,2940,0.45,5000,1,0.3018
99,0,2940,0.55,3491,1,0.3018
100,0,2940,0.65,3491,1,0.3018
101,0,2940,0.75,3491,1,0.3018
102,0,3917,0.25,5000,1,0.2968
103,0,3917,0.35,5000,1,0.2968
104,0,3917,0.45,5000,1,0.2968
105,0,3917,0.55,3516,1,0.2968
106,0,3917,0.65,3516,1,0.2968
107,0,3917,0.75,3516,1,0.2968
108,0,2353,0.25,5000,1,0.2898
109,0,2353,0.35,5000,1,0.2898
110,0,2353,0.45,5000,1,0.2898
111,0,2353,0.55,3551,1,0.2898
112,0,2353,0.65,3551,1,0.2898
113,0,2353,0.75,3551,1,0.2898
114,0,515,0.25,5000,1,0.3094
115,0,515,0.35,5000,1,0.3094
116,0,515,0.45,5000,1,0.3094
117,0,515,0.55,3453,1,0.3094
118,0,515,0.65,3453,1,0.3094
119,0,515,0.75,3453,1,0.3094
120,0,3490,0.25,5000,1,0.311
121,0,3490,0.35,5000,1,0.311
122,0,3490,0.45,5000,1,0.311
123,0,3490,0.55,3445,1,0.311
124,0,3490,0.65,3445,1,0.311
125,0,3490,0.75,3445,1,0.311
126,0,1592,0.25,5000,1,0.3018
127,0,1592,0.35,5000,1,0.3018
128,0,1592,0.45,5000,1,0.3018
129,0,1592,0.55,3491,1,0.3018
130,0,1592,0.65,3491,1,0.3018
131,0,1592,0.75,3491,1,0.3018
132,0,3310,0.25,5000,1,0.3016
133,0,3310,0.35,5000,1,0.3016
134,0,3310,0.45,5000,1,0.3016
135,0,3310,0.55,3492,1,0.3016
136,0,3310,0.65,3492,1,0.3016
137,0,3310,0.75,3492,1,0.3016
138,0,2265,0.25,5000,1,0.2938
139,0,2265,0.35,5000,1,0.2938
140,0,2265,0.45,5000,1,0.2938
141,0,2265,0.55,3531,1,0.2938
142,0,2265,0.65,3531,1,0.2938
143,0,2265,0.75,3531,1,0.2938
144,0,1984,0.25,5000,1,0.3016
145,0,1984,0.35,5000,1,0.3016
146,0,1984,0.45,5000,1,0.3016
147,0,1984,0.55,3492,1,0.3016
148,0,1984,0.65,3492,1,0.3016
149,0,1984,0.75,3492,1,0.3016
150,0,1240,0.25,5000,1,0.3054
151,0,1240,0.35,5000,1,0.3054
152,0,1240,0.45,5000,1,0.3054
153,0,1240,0.55,3473,1,0.3054
154,0,1240,0.65,3473,1,0.3054
155,0,1240,0.75,3473,1,0.3054
156,0,4229,0.25,5000,1,0.2952
157,0,4229,0.35,5000,1,0.2952
158,0,4229,0.45,5000,1,0.2952
159,0,4229,0.55,3524,1,0.2952
160,0,4229,0.65,3524,1,0.2952
161,0,4229,0.75,3524,1,0.2952
162,0,3228,0.25,5000,1,0.307
163,0,3228,0.35,5000,1,0.307
164,0,3228,0.45,5000,1,0.307
165,0,3228,0.55,3465,1,0.307
166,0,3228,0.65,3465,1,0.307
167,0,3228,0.75,3465,1,0.307
168,0,241,0.25,5000,1,0.2968
169,0,241,0.35,5000,1,0.2968
170,0,241,0.45,5000,1,0.2968
171,0,241,0.55,3516,1,0.2968
172,0,241,0.65,3516,1,0.2968
173,0,241,0.75,3516,1,0.2968
174,0,3359,0.25,5000,1,0.3114
175,0,3359,0.35,5000,1,0.3114
176,0,3359,0.45,5000,1,0.3114
177,0,3359,0.55,3443,1,0.3114
178,0,3359,0.65,3443,1,0.3114
179,0,3359,0.75,3443,1,0.3114
180,0,1925,0.25,5000,1,0.2988
181,0,1925,0.35,5000,1,0.2988
182,0,1925,0.45,5000,1,0.2988
183,0,1925,0.55,3506,1,0.2988
184,0,1925,0.65,3506,1,0.2988
185,0,1925,0.75,3506,1,0.2988
186,0,2975,0.25,5000,1,0.2954
187,0,2975,0.35,5000,1,0.2954
188,0,2975,0.45,5000,1,0.2954
189,0,2975,0.55,3523,1,0.2954
190,0,2975,0.65,3523,1,0.2954
191,0,2975,0.75,3523,1,0.2954
192,0,921,0.25,5000,1,0.3018
193,0,921,0.35,5000,1,0.3018
194,0,921,0.45,5000,1,0.3018
195,0,921,0.55,3491,1,0.3018
196,0,921,0.65,3491,1,0.3018
197,0,921,0.75,3491,1,0.3018
198,0,468,0.25,5000,1,0.2974
199,0,468,0.35,5000,1,0.2974
200,0,468,0.45,5000,1,0.2974
201,0,468,0.55,3513,1,0.2974
202,0,468,0.65,3513,1,0.2974
203,0,468,0.75,3513,1,0.2974
204,0,3286,0.25,5000,1,0.3012
205,0,3286,0.35,5000,1,0.3012
206,0,3286,0.45,5000,1,0.3012
207,0,3286,0.55,3494,1,0.3012
208,0,3286,0.65,3494,1,0.3012
209,0,3286,0.75,3494,1,0.3012
210,0,2143,0.25,5000,1,0.2936
211,0,2143,0.35,5000,1,0.2936
212,0,2143,0.45,5000,1,0.2936
213,0,2143,0.55,3532,1,0.2936
214,0,2143,0.65,3532,1,0.2936
215,0,2143,0.75,3532,1,0.2936
216,0,2461,0.25,5000,1,0.306
217,0,2461,0.35,5000,1,0.306
218,0,2461,0.45,5000,1,0.306
219,0,2461,0.55,3470,1,0.306
220,0,2461,0.65,3470,1,0.306
221,0,2461,0.75,3470,1,0.306
222,0,1853,0.25,5000,1,0.291
223,0,1853,0.35,5000,1,0.291
224,0,1853,0.45,5000,1,0.291
225,0,1853,0.55,3545,1,0.291
226,0,1853,0.65,3545,1,0.291
227,0,1853,0.75,3545,1,0.291
228,0,2875,0.25,5000,1,0.302
229,0,2875,0.35,5000,1,0.302
230,0,2875,0.45,5000,1,0.302
231,0,2875,0.55,3490,1,0.302
232,0,2875,0.65,3490,1,0.302
233,0,2875,0.75,3490,1,0.302
234,0,159,0.25,5000,1,0.301
235,0,159,0.35,5000,1,0.301
236,0,159,0.45,5000,1,0.301
237,0,159,0.55,3495,1,0.301
238,0,159,0.65,3495,1,0.301
239,0,159,0.75,3495,1,0.301
240,0,2759,0.25,5000,1,0.282
241,0,2759,0.35,5000,1,0.282
242,0,2759,0.45,5000,1,0.282
243,0,2759,0.55,3590,1,0.282
244,0,2759,0.65,3590,1,0.282
245,0,2759,0.75,3590,1,0.282
246,0,3423,0.25,5000,1,0.3052
247,0,3423,0.35,5000,1,0.3052
248,0,3423,0.45,5000,1,0.3052
249,0,3423,0.55,3474,1,0.3052
250,0,3423,0.65,3474,1,0.3052
251,0,3423,0.75,3474,1,0.3052
252,0,3861,0.25,5000,1,0.2916
253,0,3861,0.35,5000,1,0.2916
254,0,3861,0.45,5000,1,0.2916
255,0,3861,0.55,3542,1,0.2916
256,0,3861,0.65,3542,1,0.2916
257,0,3861,0.75,3542,1,0.2916
258,0,1863,0.25,5000,1,0.2948
259,0,1863,0.35,5000,1,0.2948
260,0,1863,0.45,5000,1,0.2948
261,0,1863,0.55,3526,1,0.2948
262,0,1863,0.65,3526,1,0.2948
263,0,1863,0.75,3526,1,0.2948
264,0,4431,0.25,5000,1,0.3036
265,0,4431,0.35,5000,1,0.3036
266,0,4431,0.45,5000,1,0.3036
267,0,4431,0.55,3482,1,0.3036
268,0,4431,0.65,3482,1,0.3036
269,0,4431,0.75,3482,1,0.3036
270,0,949,0.25,5000,1,0.3066
271,0,949,0.35,5000,1,0.3066
272,0,949,0.45,5000,1,0.3066
273,0,949,0.55,3467,1,0.3066
274,0,949,0.65,3467,1,0.3066
275,0,949,0.75,3467,1,0.3066
276,0,50,0.25,5000,1,0.3024
277,0,50,0.35,5000,1,0.3024
278,0,50,0.45,5000,1,0.3024
279,0,50,0.55,3488,1,0.3024
280,0,50,0.65,3488,1,0.3024
281,0,50,0.75,3488,1,0.3024
282,0,1887,0.25,5000,1,0.2996
283,0,1887,0.35,5000,1,0.2996
284,0,1887,0.45,5000,1,0.2996
285,0,1887,0.55,3502,1,0.2996
286,0,1887,0.65,3502,1,0.2996
287,0,1887,0.75,3502,1,0.2996
288,0,1995,0.25,5000,1,0.3032
289,0,1995,0.35,5000,1,0.3032
290,0,1995,0.45,5000,1,0.3032
291,0,1995,0.55,3484,1,0.3032
292,0,1995,0.65,3484,1,0.3032
293,0,1995,0.75,3484,1,0.3032
294,0,3046,0.25,5000,1,0.3116
295,0,3046,0.35,5000,1,0.3116
296,0,3046,0.45,5000,1,0.3116
297,0,3046,0.55,3442,1,0.3116
298,0,3046,0.65,3442,1,0.3116
299,0,3046,0.75,3442,1,0.3116
300,0,2292,0.25,5000,1,0.3108
301,0,2292,0.35,5000,1,0.3108
302,0,2292,0.45,5000,1,0.3108
303,0,2292,0.55,3446,1,0.3108
304,0,2292,0.65,3446,1,0.3108
305,0,2292,0.75,3446,1,0.3108
306,0,4981,0.25,5000,1,0.2854
